Experiment: Mar_9_turb3_expt vial 6, Tue Mar  9 17:54:12 2021
0.0019,180
0.0076,180
0.013,180
0.0187,178
0.0241,182
0.0299,178
0.0353,179
0.041,180
0.0464,180
0.052,177
0.0574,178
0.0631,179
0.0688,179
0.0742,176
0.0799,176
0.0853,178
0.091,177
0.0964,179
0.1021,180
0.1075,176
0.1131,180
0.1186,181
0.1242,179
0.1299,180
0.1353,178
0.141,178
0.1464,180
0.1521,178
0.1575,179
0.1632,182
0.1686,179
0.1742,175
0.1799,182
0.1853,179
0.191,177
0.1964,179
0.202,179
0.2077,176
0.2131,178
0.2188,179
0.2242,181
0.2298,178
0.2353,180
0.2409,177
0.2466,180
0.252,178
0.2577,177
0.263,177
0.2687,178
0.2744,180
0.2798,176
0.2855,179
0.2909,178
0.2966,180
0.302,178
0.3077,179
0.3131,176
0.3187,178
0.3241,179
0.3298,178
0.3352,177
0.3409,178
0.3466,176
0.352,178
0.3577,179
0.3631,178
0.3688,179
0.3742,180
0.3799,179
0.3853,176
0.391,179
0.3964,178
0.4021,179
0.4077,178
0.4131,180
0.4188,177
0.4242,178
0.4299,179
0.4354,183
0.441,183
0.4464,182
0.4521,181
0.4575,180
0.4632,177
0.4689,181
0.4743,178
0.4799,178
0.4853,178
0.491,177
0.4964,179
0.5021,179
0.5075,180
0.5132,178
0.5186,175
0.5243,176
0.5299,178
0.5353,180
0.541,181
0.5464,177
0.5521,179
0.5575,177
0.5632,178
0.5686,179
0.5743,177
0.5797,176
0.5854,178
0.5911,179
0.5965,174
0.6021,177
0.6075,178
0.6132,178
0.6186,177
0.6243,179
0.6297,177
0.6354,176
0.641,178
0.6465,177
0.6521,177
0.6575,178
0.6632,178
0.6686,178
0.6743,179
0.6797,177
0.6854,176
0.6908,177
0.6965,178
0.7022,177
0.7076,178
0.7133,177
0.7187,176
0.7243,178
0.7297,180
0.7354,178
0.7408,177
0.7465,178
0.7519,176
0.7576,176
0.7633,177
0.7687,176
0.7743,179
0.7797,180
0.7854,178
0.7908,177
0.7965,177
0.8022,178
0.8076,179
0.8132,179
0.8186,179
0.8243,177
0.83,177
0.8354,178
0.841,175
0.8464,176
0.8521,177
0.8575,177
0.8632,180
0.8686,177
0.8743,176
0.88,175
0.8854,176
0.8911,177
0.8965,178
0.9022,178
0.9076,176
0.9132,178
0.9186,176
0.9243,176
0.93,178
0.9354,176
0.9411,176
0.9465,177
0.9521,175
0.9575,176
0.9632,178
0.9686,176
0.9743,175
0.98,177
0.9854,176
0.9911,177
0.9965,175
1.0022,176
1.0075,175
1.0133,177
1.0186,176
1.0243,176
1.03,175
1.0354,178
1.0411,178
1.0465,177
1.0522,178
1.0576,174
1.0633,178
1.0687,177
1.0744,175
1.0798,178
1.0854,179
1.0911,176
1.0965,178
1.1022,177
1.1076,177
1.1133,178
1.1187,177
1.1244,176
1.1298,177
1.1355,177
1.1409,177
1.1466,178
1.152,177
1.1576,176
1.1633,178
1.1687,178
1.1744,177
1.1798,176
1.1855,177
1.1909,176
1.1965,176
1.2019,176
1.2076,174
1.2133,176
1.2187,177
1.2241,174
1.2298,177
1.2355,175
1.2409,177
1.2466,176
1.252,177
1.2577,176
1.2631,177
1.2687,179
1.2741,176
1.2798,177
1.2855,177
1.2909,176
1.2966,175
1.302,176
1.3077,178
1.3131,177
1.3188,176
1.3242,177
1.3298,176
1.3355,178
1.341,177
1.3466,178
1.352,176
1.3577,178
1.3631,177
1.3688,177
1.3742,175
1.3799,177
1.3853,178
1.391,180
1.3966,179
1.402,175
1.4077,176
1.4131,176
1.4188,178
1.4242,174
1.4299,176
1.4353,179
1.441,176
1.4467,177
1.4521,178
1.4575,177
1.4632,177
1.4689,178
1.4743,175
1.48,177
1.4854,176
1.4911,179
1.4965,176
1.5021,177
1.5076,175
1.5133,178
1.5186,176
1.5243,176
1.5298,177
1.5354,175
1.5411,177
1.5465,176
1.5522,178
1.5576,177
1.5633,175
1.5687,178
1.5744,174
1.5798,172
1.5855,176
1.5909,175
1.5966,174
1.602,176
1.6077,177
1.6131,177
1.6188,176
1.6242,178
1.6299,175
1.6356,177
1.641,178
1.6467,170
1.6521,173
1.6578,177
1.6632,175
1.6688,176
1.6742,174
1.6799,176
1.6853,177
1.691,177
1.6964,175
1.7021,174
1.7078,179
1.7132,178
1.7189,177
1.7242,177
1.7299,177
1.7353,178
1.741,179
1.7464,178
1.7521,178
1.7577,177
1.7632,179
1.7688,179
1.7742,176
1.7799,176
1.7856,179
1.791,178
1.7967,178
1.8021,175
1.8077,177
1.8131,178
1.8188,176
1.8242,175
1.8299,176
1.8355,177
1.8409,174
1.8466,177
1.852,177
1.8577,177
1.8631,179
1.8688,178
1.8742,177
1.8799,177
1.8853,175
1.891,176
1.8967,175
1.9021,179
1.9078,179
1.9132,175
1.9189,176
1.9243,177
1.9299,177
1.9354,178
1.9411,176
1.9465,177
1.9521,179
1.9575,176
1.9632,177
1.9689,176
1.9743,178
1.98,177
1.9854,178
1.9911,174
1.9965,175
2.0022,177
2.0076,177
2.0133,177
2.0187,177
2.0244,175
2.0298,175
2.0355,178
2.0409,176
2.0466,178
2.052,178
2.0577,177
2.0631,180
2.0688,178
2.0742,178
2.0799,177
2.0853,177
2.091,177
2.0964,179
2.1021,178
2.1075,179
2.1132,180
2.1189,179
2.1243,177
2.13,178
2.1354,177
2.1411,178
2.1465,180
2.1522,178
2.1576,178
2.1633,180
2.1687,179
2.1744,180
2.1798,179
2.1855,179
2.1909,178
2.1966,177
2.202,178
2.2077,177
2.2131,177
2.2188,179
