Experiment: Mar_9_turb3_expt vial 1, Tue Mar  9 17:54:12 2021
0.0019,1624
0.0076,1628
0.013,1633
0.0187,1628
0.0241,1625
0.0299,1631
0.0353,1631
0.041,1627
0.0464,1628
0.052,1632
0.0574,1627
0.0631,1627
0.0688,1630
0.0742,1632
0.0799,1628
0.0853,1626
0.091,1633
0.0964,1631
0.1021,1626
0.1075,1628
0.1131,1633
0.1186,1631
0.1242,1627
0.1299,1629
0.1353,1632
0.141,1631
0.1464,1626
0.1521,1629
0.1575,1632
0.1632,1629
0.1686,1626
0.1742,1631
0.1799,1629
0.1853,1626
0.191,1630
0.1964,1630
0.202,1625
0.2077,1630
0.2131,1629
0.2188,1627
0.2242,1630
0.2298,1631
0.2353,1626
0.2409,1629
0.2466,1631
0.252,1628
0.2577,1626
0.263,1632
0.2687,1628
0.2744,1626
0.2798,1631
0.2855,1631
0.2909,1628
0.2966,1630
0.302,1632
0.3077,1628
0.3131,1627
0.3187,1630
0.3241,1630
0.3298,1628
0.3352,1631
0.3409,1632
0.3466,1627
0.352,1628
0.3577,1632
0.3631,1628
0.3688,1626
0.3742,1632
0.3799,1631
0.3853,1626
0.391,1630
0.3964,1629
0.4021,1626
0.4077,1629
0.4131,1632
0.4188,1629
0.4242,1627
0.4299,1630
0.4354,1630
0.441,1626
0.4464,1628
0.4521,1635
0.4575,1628
0.4632,1625
0.4689,1630
0.4743,1632
0.4799,1627
0.4853,1628
0.491,1634
0.4964,1632
0.5021,1626
0.5075,1628
0.5132,1633
0.5186,1631
0.5243,1627
0.5299,1627
0.5353,1633
0.541,1631
0.5464,1626
0.5521,1628
0.5575,1633
0.5632,1630
0.5686,1627
0.5743,1628
0.5797,1633
0.5854,1628
0.5911,1627
0.5965,1631
0.6021,1629
0.6075,1627
0.6132,1631
0.6186,1628
0.6243,1625
0.6297,1626
0.6354,1634
0.641,1627
0.6465,1626
0.6521,1632
0.6575,1632
0.6632,1626
0.6686,1627
0.6743,1632
0.6797,1629
0.6854,1626
0.6908,1630
0.6965,1632
0.7022,1627
0.7076,1628
0.7133,1632
0.7187,1629
0.7243,1625
0.7297,1629
0.7354,1630
0.7408,1626
0.7465,1628
0.7519,1632
0.7576,1630
0.7633,1627
0.7687,1630
0.7743,1631
0.7797,1627
0.7854,1630
0.7908,1630
0.7965,1628
0.8022,1627
0.8076,1631
0.8132,1631
0.8186,1627
0.8243,1629
0.83,1632
0.8354,1629
0.841,1627
0.8464,1631
0.8521,1632
0.8575,1625
0.8632,1630
0.8686,1632
0.8743,1628
0.88,1627
0.8854,1632
0.8911,1632
0.8965,1629
0.9022,1624
0.9076,1630
0.9132,1632
0.9186,1629
0.9243,1627
0.93,1631
0.9354,1634
0.9411,1628
0.9465,1627
0.9521,1632
0.9575,1632
0.9632,1629
0.9686,1631
0.9743,1630
0.98,1627
0.9854,1629
0.9911,1630
0.9965,1633
1.0022,1627
1.0075,1626
1.0133,1631
1.0186,1631
1.0243,1628
1.03,1630
1.0354,1632
1.0411,1629
1.0465,1627
1.0522,1632
1.0576,1631
1.0633,1625
1.0687,1628
1.0744,1631
1.0798,1630
1.0854,1625
1.0911,1630
1.0965,1630
1.1022,1626
1.1076,1629
1.1133,1629
1.1187,1626
1.1244,1628
1.1298,1632
1.1355,1631
1.1409,1625
1.1466,1627
1.152,1630
1.1576,1626
1.1633,1627
1.1687,1631
1.1744,1629
1.1798,1626
1.1855,1631
1.1909,1634
1.1965,1628
1.2019,1626
1.2076,1628
1.2133,1630
1.2187,1626
1.2241,1627
1.2298,1632
1.2355,1631
1.2409,1627
1.2466,1630
1.252,1630
1.2577,1627
1.2631,1628
1.2687,1631
1.2741,1631
1.2798,1623
1.2855,1629
1.2909,1632
1.2966,1628
1.302,1625
1.3077,1631
1.3131,1631
1.3188,1628
1.3242,1629
1.3298,1632
1.3355,1628
1.341,1628
1.3466,1632
1.352,1631
1.3577,1626
1.3631,1632
1.3688,1632
1.3742,1628
1.3799,1625
1.3853,1631
1.391,1632
1.3966,1628
1.402,1627
1.4077,1631
1.4131,1631
1.4188,1628
1.4242,1630
1.4299,1632
1.4353,1627
1.441,1628
1.4467,1633
1.4521,1630
1.4575,1625
1.4632,1629
1.4689,1632
1.4743,1627
1.48,1624
1.4854,1632
1.4911,1632
1.4965,1627
1.5021,1626
1.5076,1631
1.5133,1630
1.5186,1627
1.5243,1630
1.5298,1632
1.5354,1627
1.5411,1628
1.5465,1631
1.5522,1629
1.5576,1625
1.5633,1627
1.5687,1632
1.5744,1629
1.5798,1627
1.5855,1629
1.5909,1631
1.5966,1627
1.602,1624
1.6077,1632
1.6131,1629
1.6188,1627
1.6242,1627
1.6299,1632
1.6356,1628
1.641,1626
1.6467,1631
1.6521,1630
1.6578,1625
1.6632,1627
1.6688,1633
1.6742,1627
1.6799,1627
1.6853,1632
1.691,1632
1.6964,1624
1.7021,1628
1.7078,1632
1.7132,1627
1.7189,1625
1.7242,1632
1.7299,1631
1.7353,1626
1.741,1627
1.7464,1631
1.7521,1629
1.7577,1626
1.7632,1630
1.7688,1633
1.7742,1625
1.7799,1628
1.7856,1631
1.791,1627
1.7967,1627
1.8021,1632
1.8077,1628
1.8131,1625
1.8188,1630
1.8242,1631
1.8299,1628
1.8355,1626
1.8409,1630
1.8466,1633
1.852,1626
1.8577,1629
1.8631,1631
1.8688,1629
1.8742,1625
1.8799,1630
1.8853,1632
1.891,1628
1.8967,1628
1.9021,1632
1.9078,1630
1.9132,1627
1.9189,1631
1.9243,1632
1.9299,1626
1.9354,1629
1.9411,1631
1.9465,1629
1.9521,1627
1.9575,1634
1.9632,1630
1.9689,1627
1.9743,1631
1.98,1633
1.9854,1625
1.9911,1628
1.9965,1633
2.0022,1628
2.0076,1626
2.0133,1628
2.0187,1631
2.0244,1628
2.0298,1627
2.0355,1631
2.0409,1630
2.0466,1624
2.052,1631
2.0577,1631
2.0631,1628
2.0688,1629
2.0742,1632
2.0799,1628
2.0853,1626
2.091,1632
2.0964,1629
2.1021,1628
2.1075,1631
2.1132,1627
2.1189,1625
2.1243,1628
2.13,1633
2.1354,1627
2.1411,1627
2.1465,1630
2.1522,1629
2.1576,1627
2.1633,1629
2.1687,1633
2.1744,1627
2.1798,1625
2.1855,1630
2.1909,1631
2.1966,1627
2.202,1626
2.2077,1632
2.2131,1630
2.2188,1626
2.2245,1630
2.2299,1630
2.2356,1628
2.241,1627
2.2467,1632
2.2521,1631
2.2578,1627
2.2632,1628
2.2689,1632
2.2743,1630
2.28,1627
2.2854,1630
2.2911,1631
2.2965,1625
2.3022,1630
2.3076,1631
2.3132,1627
2.3186,1627
2.3243,1632
2.33,1630
2.3354,1626
2.3411,1628
2.3465,1633
2.3522,1631
2.3576,1626
2.3633,1629
2.3687,1634
2.3744,1629
2.3798,1625
2.3855,1633
2.3909,1632
2.3966,1626
2.4022,1627
2.4076,1633
2.4133,1630
2.4187,1626
2.4244,1626
2.4298,1634
2.4355,1631
2.4409,1624
2.4466,1629
2.452,1631
2.4577,1628
2.4631,1628
2.4688,1631
2.4745,1629
2.4799,1627
2.4853,1629
2.491,1631
2.4967,1626
2.5021,1630
2.5075,1633
2.5132,1627
2.5189,1627
2.5244,1630
2.53,1629
2.5354,1627
2.5411,1630
2.5465,1630
2.5522,1627
2.5576,1627
2.5633,1631
2.5687,1629
