Experiment: T3_Aug_19_pumped_od_cal_expt vial 3, Thu Aug 19 18:27:13 2021
0.0032,22180
0.0086,22137
0.0143,22192
0.0197,22168
0.0254,22209
0.0308,22236
0.0365,22209
0.0419,22217
0.0476,22219
0.053,22239
0.0585,22652
0.0642,22664
0.0696,22669
0.0753,22686
0.081,22690
0.0864,22652
0.0921,22675
0.0974,22693
0.1031,22653
0.1085,23093
0.1142,23126
0.1196,23071
0.1252,23101
0.1309,23088
0.1363,23096
0.142,23174
0.1474,23078
0.153,23090
0.1587,23085
0.1642,23526
0.1699,23567
0.1753,23569
0.1808,23563
0.1865,23547
0.1919,23553
0.1976,23564
0.203,23540
0.2086,23574
0.2141,23544
0.2198,23980
0.2252,23999
0.2309,23997
0.2363,23982
0.242,23988
0.2474,23993
0.2531,23985
0.2588,23968
0.2642,23976
0.2697,24386
0.2754,24382
0.2808,24382
0.2865,24379
0.2919,24396
0.2976,24382
0.303,24420
0.3087,24410
0.3141,24391
0.3198,24400
0.3253,24816
0.3307,24809
0.3364,24806
0.3421,24815
0.3474,24812
0.3531,24811
0.3586,24834
0.3643,24847
0.3697,24825
0.3754,24789
0.3808,25228
0.3865,25223
0.3919,25222
0.3976,25215
0.403,25188
0.4087,25217
0.4141,25217
0.4198,25239
0.4252,25206
0.4309,25228
0.4363,25607
0.4421,25602
0.4475,25617
0.4532,25630
0.4586,25601
0.4643,25596
0.4697,25643
0.4753,25628
0.4807,25622
0.4864,25609
0.4919,25953
0.4976,25963
0.503,25948
0.5087,25950
0.5141,25906
0.5198,25953
0.5252,25946
0.5309,25946
0.5363,25946
0.542,25936
0.5474,26300
0.5532,26319
0.5586,26316
0.5643,26318
0.5697,26313
0.5754,26308
0.5808,26305
0.5865,26329
0.5919,26298
0.5976,26316
0.603,26613
0.6087,26649
0.6141,26637
0.6198,26647
0.6252,26646
0.6309,26649
0.6365,26609
0.6419,26618
0.6476,26615
0.653,26631
0.6587,26970
0.6641,26965
0.6698,26995
0.6752,26924
0.6809,26964
0.6863,26963
0.692,26985
0.6974,26973
0.7031,26966
0.7086,27300
0.7142,27296
0.7197,27297
0.7253,27294
0.7307,27298
0.7364,27307
0.7419,27321
0.7475,27329
0.753,27318
0.7586,27310
0.7641,27591
0.7698,27570
0.7752,27593
0.7809,27572
0.7863,27597
0.792,27615
0.7974,27621
0.803,27600
0.8087,27618
0.8142,27872
0.8199,27886
0.8253,27888
0.831,27896
0.8364,27879
0.8421,27872
0.8475,27886
0.8532,27901
0.8586,27903
0.8643,27890
0.8698,28061
0.8754,28100
0.8808,28127
0.8865,28106
0.8919,28118
0.8976,28111
0.903,28119
0.9087,28125
0.9141,28144
0.9198,28133
0.9253,28351
0.931,28340
0.9364,28326
0.942,28347
0.9474,28323
0.9531,28345
0.9585,28335
0.9642,28305
0.9697,28358
0.9753,28343
0.9808,28436
0.9865,28485
0.9919,28490
0.9976,28503
1.003,28504
1.0087,28498
1.0142,28513
1.0199,28502
1.0253,28509
1.0308,28586
1.0365,28598
1.0419,28619
1.0476,28617
1.053,28615
1.0587,28604
1.0641,28622
1.0698,28620
