Experiment: T3_Aug_19_pumped_od_cal_expt vial 8, Thu Aug 19 18:27:13 2021
0.0032,1632
0.0086,1637
0.0143,1638
0.0197,1636
0.0254,1635
0.0308,1638
0.0365,1640
0.0419,1636
0.0476,1638
0.053,1636
0.0585,1644
0.0642,1644
0.0696,1642
0.0753,1636
0.081,1635
0.0864,1639
0.0921,1641
0.0974,1635
0.1031,1633
0.1085,1636
0.1142,1643
0.1196,1641
0.1252,1637
0.1309,1633
0.1363,1638
0.142,1640
0.1474,1639
0.153,1636
0.1587,1636
0.1642,1641
0.1699,1645
0.1753,1640
0.1808,1638
0.1865,1633
0.1919,1637
0.1976,1639
0.203,1638
0.2086,1634
0.2141,1636
0.2198,1643
0.2252,1642
0.2309,1641
0.2363,1637
0.242,1635
0.2474,1639
0.2531,1639
0.2588,1635
0.2642,1635
0.2697,1643
0.2754,1645
0.2808,1642
0.2865,1636
0.2919,1633
0.2976,1638
0.303,1642
0.3087,1638
0.3141,1635
0.3198,1635
0.3253,1645
0.3307,1646
0.3364,1644
0.3421,1641
0.3474,1634
0.3531,1635
0.3586,1638
0.3643,1639
0.3697,1637
0.3754,1639
0.3808,1642
0.3865,1646
0.3919,1644
0.3976,1642
0.403,1637
0.4087,1635
0.4141,1639
0.4198,1641
0.4252,1637
0.4309,1635
0.4363,1640
0.4421,1648
0.4475,1644
0.4532,1641
0.4586,1638
0.4643,1635
0.4697,1637
0.4753,1640
0.4807,1637
0.4864,1635
0.4919,1641
0.4976,1645
0.503,1642
0.5087,1637
0.5141,1633
0.5198,1635
0.5252,1641
0.5309,1639
0.5363,1635
0.542,1636
0.5474,1641
0.5532,1645
0.5586,1645
0.5643,1641
0.5697,1636
0.5754,1635
0.5808,1638
0.5865,1637
0.5919,1635
0.5976,1635
0.603,1641
0.6087,1644
0.6141,1643
0.6198,1641
0.6252,1636
0.6309,1635
0.6365,1638
0.6419,1639
0.6476,1635
0.653,1635
0.6587,1641
0.6641,1646
0.6698,1644
0.6752,1638
0.6809,1635
0.6863,1637
0.692,1640
0.6974,1638
0.7031,1634
0.7086,1638
0.7142,1646
0.7197,1645
0.7253,1638
0.7307,1634
0.7364,1637
0.7419,1639
0.7475,1637
0.753,1633
0.7586,1636
0.7641,1644
0.7698,1646
0.7752,1645
0.7809,1639
0.7863,1636
0.792,1636
0.7974,1638
0.803,1637
0.8087,1635
0.8142,1642
0.8199,1647
0.8253,1648
0.831,1644
0.8364,1638
0.8421,1632
0.8475,1639
0.8532,1639
0.8586,1640
0.8643,1633
0.8698,1637
0.8754,1646
0.8808,1647
0.8865,1645
0.8919,1641
0.8976,1634
0.903,1635
0.9087,1638
0.9141,1641
0.9198,1636
0.9253,1637
0.931,1647
0.9364,1646
0.942,1644
0.9474,1638
0.9531,1634
0.9585,1634
0.9642,1638
0.9697,1640
0.9753,1637
0.9808,1638
0.9865,1648
0.9919,1652
0.9976,1650
1.003,1646
1.0087,1640
1.0142,1637
1.0199,1635
1.0253,1639
1.0308,1645
1.0365,1656
1.0419,1657
1.0476,1657
1.053,1657
1.0587,1656
1.0641,1649
1.0698,1644
